,Title,Date,Number of Comments,Number of Views
407,   כך ימלכד גנץ את הליכוד: גנץ יביא ביום ראשון לממשלה הצעות חוק לטובת נכי צה''ל וחיילי צה''ל,"רוני53
06/18/2022",119,22209
408,   משרד ההגנה הרוסי מוסר כי תשעה מתנדבים מישראל נהרגו בקרבות באוקראינה,"אלכס מהכרמל
06/18/2022",34,19648
409,   מחקר: שינויי האקלים עלולים לפגוע בייצור הקטשופ,"Goldfinger
06/18/2022",19,8503
410,   בקואליציה מנסים לשכנע את חה''כ אורבך שלא להצביע על פיזור הכנסת - עד לאחר ביקור ביידן,"טנגרם
06/18/2022",19,8278
411,   דיווח ראשוני על פיצוצים ויריות במקדש סיקי בקאבול בירת אפגניסטן | מספר חמושים במקום,"gold1980
06/18/2022",3,4388
412,   סין: פיצוץ ושריפה במפעל פטרוכימי בשנגחאי,"KobyBD
06/18/2022",7,7423
413,   קנדה: כומר לשעבר בן 92 נעצר בחשד שתקף מינית ילדה בשנות ה-60,"doroneli
06/18/2022",12,6293
414,   גורם בכיר ביטחוני רם דרג: אנחנו באירוע מתגלגל באיסטנבול. ההנחיה לפיגוע יצאה,"שולחן עבודה
06/18/2022",75,27877
415,   סעודיה: חיזבאללה גורם ל''כאוס חסר תקדים'' בלבנון,"doroneli
06/18/2022",3,10097
416,   דיווח: פיצוץ נשמע במערב טהראן לפני כחצי שעה,"פורטרט
06/18/2022",18,23423
417,   פיפ''א הכריזה על 16 הערים שיארחו את משחקי גביע העולם בכדורגל בשנת 2026,"גדותן
06/18/2022",18,14359
418,   דיווח: איראן בונה מתקני גרעין תת-קרקעיים,"רוני53
06/18/2022",35,12567
419,   גנץ: הממשלה שלנו טובה לישראל ואעשה כל מה שאפשר כדי שתמשיך לתפקד,"נורליק
06/18/2022",61,9596
420,   וול סטריט ג'ונרל: כוחות רוסים ביצעו החודש תקיפות נגד הקואליציה הבינלאומית בסוריה.,"מי_אמר_ביבי
06/18/2022",2,1142
421,   מסתמן- שביתה כללית בשבוע הבא במוסדות החינוך,"הדוייסי
06/18/2022",97,22256
422,   גבר בן 42 נפצע אנושות באירוע אלימות בקריית אתא | מתבצעות פעולות החייאה,"gold1980
06/18/2022",14,5456
423,   משה חוגג לקהל של בית''ר ירושלים : אתם כפויי טובה ברמות הכי מסריחות,"אשקל-טאון
06/18/2022",26,14780
424,   הנציבות האירופית ממליצה: להכריז על אוקראינה כמועמדת להצטרף לאיחוד האירופי,"Pierre
06/18/2022",8,3021
425,   גבר בן 35 נורה למוות בכפר קרע,"Lanki
06/18/2022",12,4087
426,   חשד לרצח: גבר נדקר למוות באשקלון,"מזרח_תיכון
06/18/2022",7,8836
427,   הכר את הגולש: מי אתה דצכ_עדש?,"BoomBoX
06/18/2022",94,12957
428,   בלגיה: הפרלמנט בבריסל הצביע נגד הצעת החוק לאיסור שחיטה כשר,"doroneli
06/17/2022",8,2903
429,   אנרכיסטים פרצו ללשכתו של ח''כ בן גביר בשכונת שמעון הצדיק,"יחיעם
06/17/2022",86,15587
430,"   גבאי בית כנסת בפ''ת חשוד בעבירות מין בילדים: ''ניצל הזדמנויות כשהיו לבד'' | 3 תלונות הוגשו, הערכה לעוד קורבנות","gold1980
06/17/2022",2,613
431,   ארה''ב: גדרות הוקמו מסביב לבניין ביהמ''ש העליון בוושינגטון לקראת הפסיקה בנושא ההפלות,"גדותן
06/17/2022",20,7021
432,   צה''ל בתגובה לתחקירים אודות מות העיתונאית הפלסטינית,"דבש ועוקץ
06/17/2022",10,9022
433,   ארה''ב: סנאטורים הציגו הצעת חוק שכוללת סיוע צבאי לטאייוואן בסך 4.5 מיליארד דולרים וסנקציות נגד סין,"נורליק
06/17/2022",18,4115
434,"   אל על: בחודש מאי 419 אנשי צוות, קברניטים וקצינים ראשונים בצי 737 ובצי 787, הודיעו שלא יתייצבו לטיסות עקב מחלה","עולם קטן
06/17/2022",18,6868
435,   במערכת הביטחון אומרים כי חוליות איראניות רבות מסתובבות עדיין באיסטנבול - ואף אחת מהן לא נעצרה,"גדותן
06/17/2022",34,19344
436,"   גדעון סער תוקף את הליכוד: ''הם משחדים אנשים, מציעים להם שוחד''","Pierre
06/17/2022",77,17360
437,   רמת השרון: דיווח על כלבה שנעולה במרפסת מס ימים ללא אוכל ומים,"תלאביביבדם
06/17/2022",45,19457
438,   בוריס גונסון הציא לזלנסקי לספק תוכנית הכשרה לצבא אוקראינה בתוכלת של 10000 חיילים ב120 יום,"סמוךעלי
06/17/2022",5,2641
439,"   בשל כישלון הניסיונות לפגוע בישראלים בטורקיה, בממסד הביטחוני האיראני דורשים להדיח את ראש המודיעין של הארגון","שולחן עבודה
06/17/2022",20,16767
440,   עימותים אלימים בחברון - אמיר בוחבוט,"גורי
06/17/2022",1,3520
441,   דיווחים ברוסיה: ארה''ב מרחיבה את בסיסיה במזרח סוריה ומתגברת אותם במערכות הגנה אווירית,"עולם קטן
06/17/2022",9,6670
442,   אמר לשוטר : ״אתם משטרה פח״ ונעצר,"תלאביביבדם
06/17/2022",173,22498
443,   דני דנון: אם אזרחים ישראלים ייפגעו באיסטנבול - המשטר בטהרן יישא בהשלכות קשות,"דבש ועוקץ
06/17/2022",35,12460
444,   השחקן הצרפתי ז'אן לואי טרנטיניאן הלך לעולמו בגיל 91,"פיטנגו
06/17/2022",0,0
445,   זה רשמי: ישראל במקום האחרון בקצב הפחתת הרוגי תאונות דרכים,"doroneli
06/17/2022",61,10142
446,   אחרי הסערה הציבורית על מחירי המזון במתחם ה-VIP: בהופעה של אייל גולן בבלומפילד במוצאי שבת לא יהיה מתחם דומה,"יחיעם
06/17/2022",20,17307
447,   ממשלת טורקיה שוקלת העלאה נוספת בשכר המינימום,"Goldfinger
06/17/2022",2,595
448,   מערכת הביטחון מזהירה את הישראלים בטורקיה: איראן מתכוונת לבצע פיגוע בסופ''ש,"טוק דוגרי
06/17/2022",50,19814
449,   הסתדרות המורים מחריפה את העיצומים: ביום ראשון הלימודים בכל הארץ יחלו בשעה 10:00,"גדותן
06/17/2022",30,9420
450,"   כאוס בשדה: 4,000 טיסות בוטלו בבריטניה; אדם שנזקק לסיוע נפל ומת בגטוויק","פורטרט
06/17/2022",17,17118
451,   פרופ׳ יהודה אדלר תוקף באולפן וינט את אישור חיסון התינוקות: ״ הFDA איבדו את הצפון״,"תלאביביבדם
06/17/2022",61,17753
452,   שרת הפנים של בריטניה אישרה הסגרתו של מייסד ויקיליקס ג'וליאן אסאנג' לארה''ב,"Lanki
06/17/2022",9,4173
453,   דובר צה''ל בערבית אביחי אדרעי מפרסם: אחד מהמחבלים שחוסל הלילה בג'נין נקבר כשהוא עטוף דגל דאעש,"doroneli
06/17/2022",13,9981
454,"   המתפ״ש הודיע על הגדלת מכסות העבודה מעזה מ-12,000 ל14,000. מאות עזתים הודו לו בדף הפייסבוק","תמונת_מצב
06/17/2022",39,14367
455,   התקשורת הרוסית הפיצה תמונות של הלוחמים האמריקנים שנשבו באוקראינה,"doroneli
06/17/2022",3,5024
456,"   חוות דעת משפטית מ-2005 מראה שניתן לפזר את הכנסת במהלך הפגרה, במידה ויש 61 ח״כים","micmic
06/17/2022",7,1272
457,   גבאי בית כנסת בפתח תקוה נעצר בחשד לביצוע עבירות מין בקטינים,"Pierre
06/17/2022",26,8651
458,"   הרצח הכפול בצפון | הערכה: מדובר ב''כיפה אדומה'', השניים ספגו עשרות קלעים","doroneli
06/17/2022",21,18242
459,   בקבוק קולה ב-50 ש''ח: המחירים המופרזים בהופעה של אייל גולן,"דפורמביל
06/17/2022",175,37357
460,"   ה-FDA אישר את בטיחות ויעילות חיסוני פייזר לילדים בגילי חצי שנה עד 5 בשלוש מנות, 13 שבועות מחיסון ראשון להגנה","Lanki
06/17/2022",16,2972
461,   גילה בעזרת מצלמות אבטחה שאשתו בוגדת עם השכן ותקף אותו עם אלות וקרשים,"אוהב ישראל
06/17/2022",88,29708
462,"   ניסיון לינץ' של יהודים בבנימין: ''ראינו לייזר, ופתאום חטפנו מטר אבנים''","Klaus
06/17/2022",5,3037
463,   דובר צה''ל: בלון תצפית של צה''ל נפל בשטח רצועת עזה לפני זמן קצר. הפרטים בבדיקה,"מונטנה
06/17/2022",47,19335
464,   חיסול המחבלים בג'נין: אחד הקליעים שנורו פגע בקסדת לוחם צה''ל,"מונטנה
06/17/2022",23,19135
465,   ח''כ אופיר אקוניס: אם נהיה משוכנעים ביום רביעי שיש לנו רוב בקריאה טרומית - נביא את ההצעה לפיזור הכנסת,"טנגרם
06/17/2022",14,3975
466,   ספינת מלחמה רוסית חדרה למים הטריטוריאליים של דנמרק בים הבלטי - כך הודיעה דנמרק,"מי_אמר_ביבי
06/17/2022",5,3552
467,"   גמר הNBA, גולדן סטייט מול בוסטון","הגיג
06/17/2022",14,9775
468,   פוטין: ''ארה''ב הכריזה שהיא הגיחה לעולם על ידי אלוהים למען מטרותיה המקודשות'',"Goldfinger
06/17/2022",24,11635
469,   זלנסקי: ''מדובר בצעד הראשון שלנו בדרך לחברות באיחוד האירופי שיקרב את ניצחוננו'',"Lanki
06/17/2022",9,2903
470,   דיווחים לא מאומתים באיראן על מותו של קצין נוסף בזרוע האוויר והחלל של משמרות המהפכה,"דבש ועוקץ
06/17/2022",85,21574
471,   רוסיה: פוטין נאלץ לדחות נאום בשעה בשל ''מתקפת סייבר'',"Pierre
06/17/2022",19,5412
472,   דיווח רוסי: נשיא בלארוס טען כי ''פולין מתכננת לפלוש למערב אוקראינה''.,"דבש ועוקץ
06/17/2022",20,8516
473,   נפאל: מחנה הבסיס ליציאה לאוורסט יועתק ממקומו מקרחון קומבו הנמס,"יוסריאן
06/17/2022",13,5927
474,"   בית המשפט חושב שהכל שפיט, אבל בבגידות ובהונאת בני זוג הוא לא מתערב","חרובי
06/17/2022",31,11645
475,   מספרו של היועמ''ש ויינשטיין שמונה בידי נתניהו עולה כי הוא היה שייך לשמאל הקצוני- חגי הוברמן,"Hermon
06/17/2022",35,7302
476,   14 בפברואר 2016 - פגישה בין נתניהו וגנור'': המסמך שבכירי המשטרה לא הכירו,"עדי
06/17/2022",109,20912
477,   המשטרה פתחה בחקירת נסיבות מותו של פעוט כבן שנה מערערה בנגב.,"מזרח_תיכון
06/17/2022",8,3676
478,   ד''ר אלרעי פרייס: בקרוב נאשר חיסוני קורונה גם בקרב תינוקות,"Goldfinger
06/17/2022",105,12589
479,"   לפיד: ''כמו במשרד האוצר, כמו ביש עתיד, גם במשרד החוץ הובלנו השנה מהפיכה בייצוג נשי''","טנגרם
06/17/2022",58,6720
480,   בגלל השכר ההתחלתי העלוב: יותר מ-400 שוטרים התפטרו מתחילת השנה,"דבש ועוקץ
06/17/2022",95,18151
481,   רעידת אדמה בארגון ההאבקות wwe. היו''ר והבעלים וינס מקמהון פורש מתפקידו,"דוקטור ספין
06/17/2022",28,11348
482,"   תחקיר ראשוני של נפילת בלון התצפית בעזה: ניתק ממקומו מסיבות טכניות, לא נשמר בו מידע מודיעיני","טנגרם
06/17/2022",52,12643
483,"   מנכ''ל רכבת ישראל באיגרת לעובדים: ''השביתות פוגעות בכם, בתדמיתכם כעובדי רכבת ישראל''","פיטנגו
06/17/2022",0,0
484,"   חפץ:לפני שהחל להעיד בתיק 4000, עו''ד כהן מציע לו “לכאורה” להפגש, כשהוא נעתר, אחרי סיום העדות, זה כבר מאוחר מדי","Howlowcanugo
06/17/2022",33,17544
485,"   פורעים ערבים תוקפים את כוחותינו במספר מוקדים ביהודה ושומרון, תיעוד מכפר קדום","שכוייח וכולי
06/17/2022",1,1320
486,   איגוד השידור האירופי החליט שלא לאפשר לאוקראינה לארח את אירוויזיון 2023,"פיטנגו
06/17/2022",20,10630
487,"   לאחר שבלון תצפית צה''לי נפל בשטח הרצועה, בחמאס שולחים מסר מאיים: ''להגביר את רוח ההתנגדות נגד ישראל''","יחיעם
06/17/2022",8,3691
488,"   הר הבית, מוקדם יותר היום: הילדים צועקים ''שים חרב על חרב אנחנו אנשיו של מוחמד דף''","גדותן
06/17/2022",9,2176
489,   אבו מאזן גינה את חיסול המחבלים הלילה בג'נין: ''ממשלת ישראל נושאת באחריות להסלמה'',"נורליק
06/17/2022",16,3962
490,   ראיות לשימוש באש לפני יותר מ-800 אלף שנה נחשפו בגליל,"קוד
06/17/2022",24,6551
491,   מה מסתתר מאחורי שידורי אל ג'זירה?,"הדוד מאשדוד
06/17/2022",12,9871
492,   ''חלום של 16 שנה'': משפחת הלוחמת המצטיינת תעלה סוף-סוף מאתיופיה,"טנגרם
06/17/2022",22,5922
493,   חמאס: בראא׳ לחלוח (המכונה הצ׳צני) שחוסל לפנות בוקר בג׳נין היה מפקד בעזאדין אל-קאסם,"תמונת_מצב
06/17/2022",66,20562
494,   ניסיון לינץ' בבנימין: ''סינוורו אותנו עם לייזר ופתאום חטפנו מטר אבנים'',"גדותן
06/17/2022",14,6204
495,   תיעוד: אישה נופלת לפיר של מעלית בבניין בקרית גת,"מונטנה
06/17/2022",10,14445
496,"   אימה בלב חיפה | ניסיון לינץ' בצעיר מקומי: ''הם צעקו 'יהודי, יהודי'״","oFiR
06/17/2022",86,27951
497,   דיווחים בעיראק על פיצוץ ליד בסיס אל-חריר במחוז ארביל,"doroneli
06/17/2022",2,2239
498,   כל סוף הוא התחלה: בלינוי משדרות הושתל הלב של ביסאן מרהט,"נורליק
06/17/2022",40,6453
499,"   יעקב ליצמן: ''נתניהו הסכים שדרעי יהיה ראש הממשלה, מישהו חזר בו ולא אגלה מי''","Howlowcanugo
06/17/2022",100,23958
500,   האירועים בגבול רצועת עזה | בצה״ל מתקיימת כעת הערכת מצב כדי לשקול תגובה,"תמונת_מצב
06/17/2022",81,23815
501,   ירידות חדות בבורסות העולם| הנאסד''ק צונח ביותר מ4.5%,"ישראל77741
06/17/2022",73,23325
502,   נשיא ארה''ב ביידן: אנרגיה ירוקה חיונית ל''ביטחון הלאומי'',"עולם קטן
06/17/2022",3,231
503,   ארה''ב: שוטר תלה סמל נאצי על דלת משרדו - ופוצה ב-1.5 מיליון דולר,"the hawk
06/17/2022",17,13240
504,   זלנסקי: אזרחים רוסים שיירצו להיכנס לבקר באוקראינה יהיו חייבים בוויזה החל מ-1 ביולי,"עולם קטן
06/17/2022",11,3967
505,"   הודו: הפגנות, שריפת רכבות, הרוג ופצועים במחאה כנגד חוק הגיוס החדש","יוסריאן
06/17/2022",6,2875
506,   מטוס טופולב Tu-154 של משרד ההגנה הרוסי בחן הבוקר את הנזק או את האפשרות לנחות בשדה התעופה הבינלאומי של דמשק,"נורליק
06/17/2022",3,3862
507,   שר הבריאות הורוביץ מציג: תור חודשי נוסף לניתוחים להתאמה מגדרית והקמת מרפאת להט״ב חדשה,"Leibniz
06/17/2022",130,20841
508,   נעצר חשוד במעשים מגונים והטרדה מינית כלפי נשים ונערות קטינות במרכז מסחרי בבית שמש,"נורליק
06/17/2022",6,5332
509,"   תושב ערערה נעצר באזור כפר סבא, לאחר שנהג בפראות ברכבו שהיה תחת צו השבתה","טנגרם
06/17/2022",7,2475
510,   דיווח ערבי. ירי צהל לעבר נקודת תצפית ברצועת עזה,"מי_אמר_ביבי
06/17/2022",115,22414
511,   דאגה ברמאללה מההתקרבות בין ישראל לסעודיה,"Lanki
06/17/2022",9,5245
512,   40 אירועי שוד באותם 4 ק''מ בכבישי השומרון ובכפרים אליהם נכנסים ישראלים רבים לקניות,"doroneli
06/17/2022",8,3265
513,   מומחי ה-FDA המליצו פה אחד לחסן נגד קורונה מגיל חצי שנה בחיסון של מודרנה,"נורליק
06/17/2022",159,20244
514,   אפל וליגת הכדורגל האמריקאית MLS חתמו על הסכם סטרימינג בלעדי,"פיניקית
06/17/2022",2,1618
515,   הזירה הימית מתחממת. צה״ל ביצע לפני זמן קצר ירי הרתעתי לעבר סירות של פלסטינים מול חופי רצועת עזה,"מונטנה
06/17/2022",10,1969
516,"   אמו של מוישי הנעדר כבר 83 יום: ''זה מחדל של המדינה, אנו מרגישים לבד במערכה''","עולם קטן
06/17/2022",24,5424
517,   דיווחים ערבים: עימותים בגנין עם כוחות צהל מספר מחבלים חוסלו ברכב,"מי_אמר_ביבי
06/17/2022",97,28867
518,"   יו”ר ועדת הכספים, ח”כ אלכס קושניר: ”אנחנו מובילים חקיקה שתגביל את שטח המדף של הספקים הגדולים ברשתות“","Pierre
06/17/2022",11,2513
519,   ליברמן זועם על ראשי הקואליציה: תעשו סדר במפלגות שלכם,"פורטרט
06/17/2022",22,11719
520,   גם השבוע הקואליציה לא תביא להצבעה את מענקי האומיקרון,"דבש ועוקץ
06/17/2022",5,2402
521,   קאנטרי בנוף הגליל שסירב למכור מנוי לערבי יאפשר כניסה לתושבי חוץ במסגרת פשרה,"גדותן
06/17/2022",8,4584
522,"   על רקע המשבר הקואליציוני, בנט מודה בשיחות סגורות: נכשלתי בבחירת האנשים שלי","menahem
06/17/2022",222,29571
523,"   36 חניכים וחניכות יסיימו בשבוע הבא את קורס הטיס במסדר הכנפיים, מהם שתי טייסות מסוקים ונווטת קרב","נורליק
06/17/2022",9,4508
524,   שרת האנרגיה אלהרר: ''מכירת הגז הישראלי לאירופה לא תיצור משבר עם רוסיה; לבנון? אנחנו זמינים'',"יחיעם
06/17/2022",40,6688
525,"   לפני זמן קצר, הופעלה התרעה ביישומון ובשטח פתוח באזור מעבר ארז כתוצאה מירי הרחקה של צה''ל","מונטנה
06/17/2022",6,1134
526,   ברע''ם שינו כיוון ומשדרים שאינם חוששים מבחירות – אך סקר חדש שנחשף לראשונה מראה שהציבור לא בדיוק איתם,"פורטרט
06/17/2022",12,4318
527,   ערבים יידו אבנים לעבר רכבים בכביש גוש עציון חברון סמוך לכפר בית אומר *פצועה במקום ונזק שימשה,"שכוייח וכולי
06/17/2022",3,1027
528,   תת מזכיר המדינה האמריקנית המתאמת את ביקור ביידן בישראל נפגשה עם מנסור עבאס,"אדי כהן
06/17/2022",33,4675
529,   מסתמן: סקוטי ווילבקין יעזוב את מכבי תל אביב,"יחיעם
06/17/2022",24,9255
530,   צעדת ''המופקרות'' בירושלים: כ-200 משתתפים התאספו בכיכר הדווידקה,"עולם קטן
06/17/2022",14,10411
531,   אירוע חריג הלילה בי-ם: בן 14 חשוד שדקר פקח שהעיר על נהיגה פרועה,"פיטנגו
06/17/2022",18,7788
532,   ניצן שפירא: הילדים מביתר עילית שנעדרו מאתמול אותרו בריאים ושלמים,"כונן
06/17/2022",13,5021
533,   חסימות ופקקי ענק בצומת גהה בעקבות הפגנת הנהגים שמתקיימת כעת בכל רחבי הארץ,"מונטנה
06/17/2022",9,6423
534,   אחרי שנרצחה – קמפיין גיוס המונים למען ילדיה של ספיר נחום ז''ל,"Pierre
06/17/2022",11,5630
535,   ח''כ אופיר כץ: הצעת החוק שלי להחמרת ענישה למתעללים בפעוטות חייבת לעבור,"דבש ועוקץ
06/17/2022",2,670
536,   שימו לב : למשך חודשיים - הרכבת הקלה לא תפעל במקטע שבין הר הרצל לתחנה המרכזית.,"אני מאמין
06/17/2022",17,6755
537,   דיווח בוול סטריט ג'ורנל: ארה''ב בוחנת מראש את תוכניות התקיפה של ישראל נגד מטרות איראניות בסוריה,"doroneli
06/17/2022",53,21701
538,   דובר צה''ל: *''שובר גלים''* *לוחמי צה''ל סיכלו חוליית מחבלים בג'נין,"שכוייח וכולי
06/17/2022",28,19310
539,   קרן מרציאנו מפרה את החוקים? מקור ההכנסה הנוסף נחשף,"עדי
06/17/2022",16,19835
540,   התחזה למיכאל מור - וניסה לסחוט בכיר במשרד הכלכלה,"אוהב ישראל
06/17/2022",6,4078
541,"   במידה ולפיד יהפוך לר״מ מעבר, הוא ידרוש לעבור לבלפור מיידית ולעשות את התאמות הביטחוניות לכך","micmic
06/17/2022",72,21665
542,   חברת התעופה האירופית אייר נוסטרום הזמינה זה עתה צי של ספינות אוויר,"חרוב
06/17/2022",41,22039
543,   2 הרוגים מירי בכביש 75 מתחת למחלף שער העמקים (פלילי),"מזרח_תיכון
06/17/2022",46,23789
544,"   מסע בארץ הפרוטקשין: הצתות, יריות, חטיפות - ואיך זה שבתי המשפט מרחמים דווקא על העבריינים?","Lanki
06/17/2022",19,5642
545,   האלוף הרצי הלוי הדף נערים ערביים שהתגרו ביהודים בכיכר צהל,"הראש היהודי
06/17/2022",46,26816
546,   דיווח: ''בשנת 2021 השקיעה ישראל 1.2 מיליארד דולר בשדרוג הנשק הגרעיני שברשותה'',"Brain Damage
06/17/2022",59,25856
547,"   שביתה נהגי התחבורה הציבורית ביום שישי, ה-17 ביוני","אני מאמין
06/17/2022",16,9864
548,"   ביהמ''ש המחוזי בבאר שבע קיבל את הערר: יוסי שוורץ, הבעלים של מועדון הפורום, יישאר במעצר","עולם קטן
06/17/2022",1,169
549,"   2 ערבים ירו לעבר חיילי צה״ל, המשטרה מתעקשת: האירוע פלילי","מרצע
06/17/2022",16,11811
550,   בן גביר עתר לבג''ץ בדרישה לבטל את הנוהל לעליית חברי כנסת להר הבית.,"פורטרט
06/17/2022",7,2104
551,"   מחבלים יידו מספר מטעני צינור לעבר עמדת צה''ל באזור נווה צוף, אין נפגעים","Izhack111
06/17/2022",6,5127
552,   מכונית חשמלית בסיוע שמש (סולארי) של Lightyear 0 תיכנס לייצור השנה,"חרוב
06/17/2022",26,16495
553,   בגלל הסנקציות: ברוסיה החלו לייצר מכוניות בלי ABS או כריות אוויר,"מאירקה
06/17/2022",19,9927
554,   חשש גדול לשני נערים נעדרים מביתר עילית שיצאו אתמול בבוקר ולא שבו,"אש תמיד
06/17/2022",20,13462
555,   נתוני צה''ל - השנה הבטוחה בדרום מאז 2009,"Howlowcanugo
06/17/2022",87,11185
556,   ההצעה החדשה של האוצר למורים: הצמדת חופשות ''אסרו חג'' לסופי השבוע,"גדותן
06/17/2022",72,22112
557,   הצלחה לחיסון mRNA נגד סרטן לבלב,"Gronk
06/17/2022",118,24548
558,   חולי סרטן הפגינו מול ביתו של השר הורוביץ: ''אל תשחקו לנו בחיים'',"Pierre
06/17/2022",8,2207
559,"   נתניהו לאורבך; צדקת כשאמרת שהניסוי נכשל. אבל הכישלון הזה מסכן מדינה שלמה, מסכן את עתידנו","החדשות החמות
06/17/2022",181,19741
560,"   בית המשפט שיחרר למעצר בית את יוסי שוורץ בעלי מועדון הפורום בב''ש, בניגוד לעמדת המשטרה","האדמירל
06/17/2022",5,7636
561,   חגיגת בר מצווה מרגשת לבנו של נרצח הפיגוע מאלעד,"אני מאמין
06/17/2022",6,2383
562,   הרב הראשי מעקב מינוי טוענים רבניים בשל מחלוקת על היועמ''ש בעניין גיסו| לשכת הרב: הנושא בסמכות ועדת מכרזים ולא בסמכותו,"Howlowcanugo
06/17/2022",15,17419
563,   העימות בין בנט לגנץ על מינוי הרמטכ''ל:רה''מ מעוניין לראיין את שלושת המועמדים לתפקיד והבהיר: לא אהיה חותמת גומי,"Goldfinger
06/17/2022",21,14687
564,   תוך שעה: ארבע החייאות מוצלחות בגברים שלקו בדום לב והתמוטטו,"תשבץ
06/17/2022",92,28487
565,"   גדולי רבני הציונות הדתית לתנועת נחלה וראשי המועצות ביו''ש: יישר כח על שיתוף הפעולה, בהצלחה בהקמת היישובים","יגאל בן צבי
06/17/2022",4,4453
566,   תחזית מזג האוויר חם מהרגיל,"בועז דיין
06/17/2022",7,3484
567,"   מפלאי ההתחממות הגלובלית: המסת הקרחונים מסייעת להציל, זמנית לפחות, דובי קוטב","ירושלמי ציוני
06/17/2022",7,4230
568,   100 מיליון בני אדם ברחבי העולם נאלצו לברוח מבתיהם,"חרוב
06/17/2022",19,13293
569,   רוכב אופנוע כבן 18 נהרג בתאונה במנהרת הר הצופים בירושלים,"החדשות החמות
06/17/2022",15,12732
570,   שריון ברשימה לכנסת ותפקיד שר: ההסכם המסתמן בין אורבך לליכוד והאתגר שעומד בפני לפיד,"רוני53
06/17/2022",238,28937
571,   הקרמלין: רוסיה וארה''ב נמצאת ב''נקודה מאוד חמה של עימות'',"אריה33
06/17/2022",58,17299
572,"   הטכניון, חיפה: תא הסטודנטים ''בוחרים במשפחה'' בהפגנה נגד אירוע ''דראג'' בטכניון","אילנד
06/17/2022",119,20911
573,   אל-ג'זירה הציגה את הקליע שפגע בשירין אבו עאקלה - ומאשימה שוב את ישראל,"הדוד מאשדוד
06/17/2022",30,15468
574,   סערה במצרים: השדרנית אמאני אל-סבאח הוכתה על ידי מנהל הרדיו המרכזי '' לאחר שדרשה העלאה בשכרה,"האדמירל
06/17/2022",59,22811
575,   ראש העיר פ''ת תועד מודה שהעביר כספי תרומה לראש המטה שלו בזמן הבחירות,"נורליק
06/17/2022",17,10264
576,   ארה''ב: מפעל ענק ליצור מזון לתינוקות נסגר בגלל סופות ושטפונות,"פיניקית
06/17/2022",8,8736
577,"   בלעדי לרוטר, עשרות תמונות מבפנים ומבחוץ של ביתם של נפתלי וגילת בנט ברעננה חשופים לעיני כל דורש ברשת","הסוחר מוונציה
06/17/2022",41,16039
578,   מורים ותלמידים פצועים בקטטה המונית בתיכון בפרדס חנה,"מונטנה
06/17/2022",111,31257
579,   התעלומה נפתרה? חוקרים גילו את מקור המגפה השחורה (קירגיזסטן),"פיניקית
06/17/2022",19,10681
580,   בית קפה על שם ביבי ייפתח בדובאי,"האדמירל
06/17/2022",73,21782
581,   יהודי תושב בנימין שנסע הערב ברכבת הקלה בירושלים רוסס בספריי צבע ע״י מחבלים ערבים,"האדמירל
06/17/2022",35,17774
582,"   ''כנסי, מלאך המוות; תישרפי באש הגיהינום'': ההקלטות הקשות מהפעוטון בחולון","טלטלוש
06/17/2022",19,13623
583,"   היום כמידי יום, שוב שריפות פסולת לא חוקית משתוללות באיזור ראש העין ואורנית","Pragmatic
06/17/2022",10,3738
584,"   סא''ל ד, שנכנס בעוד מס' ימים לתפקידו ביחידה מיוחדת, עשה סיום מסכת יחד עם הכנסת ספר תורה חדש לגדוד שלו","פתשגן
06/17/2022",78,22089
585,"   מורח ומורח ומורח -בליכוד ניסו ליצור קשר עם אורבך כדי לקדם את עסקת הפרישה, הוא מסנן","האדמירל
06/17/2022",110,19303
586,"   ביידן: ''מיתון הוא לא בלתי נמנע, אנחנו בעמדה הטובה בעולם להתגבר על אינפלציה''","עולם קטן
06/17/2022",16,6508
587,   השחקן קווין ספייסי הופיע בבית המשפט בלונדון לאחר שהואשם בתקיפה מינית,"חרוב
06/17/2022",3,2938
588,   פעולות החייאה בנער כבן 15 שטבע בנהר הירדן,"החדשות החמות
06/17/2022",32,19665
589,   אל ערבייה: פיצוצים במחסנים של מיליציות איראניות במאהין באזור הכפרי של חומס,"פומפיה
06/17/2022",18,16866
590,"   השוטר שהותקף בעיסאוויה ונחשד בירי בשטח בנוי, נחקר תחת אזהרה במח''ש ומסר את גרסתו","Braveheart
06/17/2022",26,12253
591,   מיכאל שמש: רה״מ בנט קיים היום התייעצות פוליטית בקריה בתל אביב - ודן באפשרות להקים ממשלה חלופית עם נתניהו,"Goldfinger
06/17/2022",39,20725
592,   היסטוריה בצה''ל: הכירו את המח''טית הראשונה בצבא,"טוק דוגרי
06/17/2022",104,22835
593,   לראשונה באירופה: הפרלמנט האזורי הקטלוני הכיר ב''פשעי אפרטהייד'' שישראל מבצעת,"יחיעם
06/17/2022",42,14839
594,   רביב דרוקר: איך קרה שהפרקליטות תמכה שוב ושוב בעמדת אליעזר ברלנד?,"אוהב ישראל
06/17/2022",74,23593
595,   חברת הקוסמטיקה ''רבלון'' (Revlon) מכריזה על פשיטת רגל,"Flyby
06/17/2022",94,27555
596,   ח''כ אחמד טיבי פנה לקבוצת עיתונאים ממדינות ערב שסיירו בכנסת ואמר להם ''אתם נמצאים במקום הכי גזעני בעולם'',"ישראל_ק
06/17/2022",72,19079
